id,fonte,codigo,nome,municipio,rio,bacia,lat,lon,tipo,automatica,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,nivel_cm,vazao_m3s,chuva_1h,chuva_24h,chuva_72h,medido_em,situacao,cor,observacao,url_origem,atualizado_em
SACE_cai_109,SACE/SGB,872300,Costa do Rio Cadeia,Costa do Rio Cadeia,Cadeia,Bacia do Rio Caí,-29.58993,-51.3137,FLUVIOMETRICA,1,500.0,700.0,1000.0,205.0,,0.0,0.0,0.0,2026-08-24 12:30:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=cai&pm=109&s=141&sr=142,2026-08-24 19:45:51
ANA_02851093,ANA telemetria,02851093,Csg Antônio Prado - 1248,Antônio Prado,,Não catalogada (ANA),-28.9383,-51.1881,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02851093&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02951154,ANA telemetria,02951154,Csg Carlos Barbosa - 1197,Carlos Barbosa,,Não catalogada (ANA),-29.3361,-51.4156,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02951154&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02951155,ANA telemetria,02951155,Csg Farroupilha - 1215,Farroupilha,,Não catalogada (ANA),-29.3228,-51.3472,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02951155&dataInicio=&dataFim=,2026-08-24 19:45:51
ANA_02851092,ANA telemetria,02851092,Csg Ipê - 1171,Ipê,,Não catalogada (ANA),-28.6678,-51.1731,PLUVIOMETRICA,1,,,,,,,,,,Sem transmissão recente,gray,,https://telemetriaws1.ana.gov.br/ServiceANA.asmx/DadosHidrometeorologicos?codEstacao=02851092&dataInicio=&dataFim=,2026-08-24 19:45:51
SACE_uruguai_68,SACE/SGB,7625100,Dom Pedrito,Dom Pedrito,Santa Maria,Bacia do Rio Uruguai,-30.9703,-54.6933,FLUVIOMETRICA,1,940.0,1020.0,1100.0,1036.0,,0.0,0.0,0.0,2026-08-24 15:30:00,Cota de Alerta,orange,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=68&s=301&sr=303,2026-08-24 19:45:51
SACE_guaiba_64,SACE/SGB,85400000,Dona Francisca,Dona Francisca,,Bacia do Guaíba,-29.62694,-53.35277,FLUVIOMETRICA,1,,,750.0,186.0,,,,,2026-08-24 15:45:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=guaiba&pm=64&s=67&sr=,2026-08-24 19:45:51
SACE_taquari_2,SACE/SGB,8672000,Encantado,Encantado,Taquari,Bacia do Taquari-Antas,-29.23519,-51.85507,FLUVIOMETRICA,1,500.0,900.0,1200.0,136.0,,0.0,0.0,0.0,2026-08-24 15:15:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=taquari&pm=2&s=3&sr=4,2026-08-24 19:45:51
SACE_uruguai_11,SACE/SGB,7135000,Encruzilhada II,Encruzilhada II,Canoas,Bacia do Rio Uruguai,-27.50777,-50.11277,FLUVIOMETRICA,1,400.0,500.0,600.0,428.0,,,0.0,,2026-08-24 15:00:00,Cota de Atenção,gold,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=uruguai&pm=11&s=182&sr=183,2026-08-24 19:45:51
SACE_taquari_1,SACE/SGB,8687930,Estrela,Estrela,Taquari,Bacia do Taquari-Antas,-29.47349,-51.96281,FLUVIOMETRICA,1,1500.0,1700.0,1900.0,1302.0,,0.0,0.0,0.0,2026-08-24 15:15:00,Normal,green,,https://www.sgb.gov.br/sace/sace_nivel/relatorio.php?apenas_grafico=sim&bacia=taquari&pm=1&s=1&sr=2,2026-08-24 19:45:51
